param,importances,coeff
pra high recipient,1.0,1.0
second warm ischemia period in minutes,0.3108870885942989,0.40637412337229795
cold ischemia time hours,0.23873363420751734,0.14824786710007593
basic_ln_cd45+_leucocytes_%_gated,0.18692665104323417,0.3007528659386238
age donor,0.1531144264965405,0.49526585690926134
tcel_ln_cd8+cd28+cd57+_%gated,0.1288826189917862,-0.003319955940930593
bcel_ln_igd-igm+cd27+cd38high_%gated,0.12393982448499272,-0.26635852982230634
leefpat,0.11642172883083067,-0.6911688069390551
basic_ln_cd14+cd16high_monocytes_%_gated,0.10002344831056255,-0.2491366661835822
bcel_pb_igd+cd27+_(marginal_zone_b_cells)_absoluut,0.06516083513987524,-0.3489297428350238
mm-b,0.06471101570171481,0.03753007958633329
tcel_ln_cd8+emra_cd28+cd57+_%gated,0.03871513901242387,-0.11749119712308598
tcel_ln_cd4+cd28+cd57-_absoluut,0.01810508632239757,0.07307804868207683
basic_ln_cd14highcd16+_monocytes_absoluut,0.01630323601172879,-0.006700964102565737
tcel_ln_cd4+cd27+cd28+_absoluut,0.01600122399633305,0.008573984606448464
basic_ln_cd14+cd16high_monocytes_absoluut,0.015738398915967938,-0.29808484359028575
tcel_ln_cd8+emra_cd28-cd57-_%gated,0.014796218392771654,-0.23083269959688912
bcel_ln_transitional_b_cell_%gated,0.010659702219000724,-0.04424041925650292
basic_ln_cd14highcd16-_monocytes_%_gated,0.01030904760529035,0.21648518427450286
tcel_ln_cd4+emra_cd28-cd57+_%gated,0.010268162208619425,-0.05550060613199529
tcel_ln_cd4+emra_cd28+cd57-_%gated,0.009824983158897375,-0.12831492959543053
tcel_ln_cd4+ccr7+cd45ra+_%gated,0.008170125824786297,-0.2613329874190175
bcel_ln_igd+cd27+_(marginal_zone_b_cells)_%gated,0.007428888475052642,-0.136321767167138
bcel_ln_igm+cd27+cd38dim_absoluut,0.0071557982219112425,-0.4772865685820249
bcel_ln_igd-igm+cd27-cd38dim_%gated,0.0069299243226926726,-0.10425654877045616
bcel_ln_cd45+_leucocytes_%gated,0.006919015027665991,0.38221148583028625
tcel_ln_cd8+cd27-cd28+_%gated,0.0059057930587310585,-0.05705357673133231
tcel_ln_cd4+cd27+cd28-_absoluut,0.004868485859121805,-0.013690706320439373
bcel_ln_igm+cd27+cd38high_absoluut,0.004609847410026381,-0.040797912569156776
tcel_ln_cd4+cd28+pd1+_absoluut,0.004502076404420514,-0.10422500046401499
tcel_ln_cd8+emra_cd28+cd57+_absoluut,0.004216897753188223,-0.15042418439255303
tcel_ln_cd8+cd27+cd28+_absoluut,0.003721516932924937,0.05949233518492916
